chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
1009,415,813,1804,M
1034,416,852,1798,M
1232,444,1139,1745,2XL
1002,402,747,1694,M
1054,401,972,1824,M
1074,415,779,1864,L
881,388,594,1670,XS
925,386,691,1655,S
1113,423,877,1790,XL
1152,433,964,1777,XL
1034,417,927,1780,M
1053,419,946,1774,L
1059,419,833,1698,L
977,403,716,1641,S
1064,433,870,1740,L
1037,410,733,1660,M
1065,422,869,1790,L
1001,411,827,1742,M
1082,419,954,1781,L
1104,427,940,1778,L
973,394,734,1759,S
961,401,779,1780,S
1159,423,995,1766,XL
998,393,664,1628,S
1182,436,1013,1767,2XL
1013,403,804,1723,M
1011,406,815,1776,M
1172,424,1034,1756,XL
838,379,587,1685,XS
1043,419,787,1740,M
1098,411,867,1679,L
956,398,674,1667,S
936,386,631,1680,S
968,381,616,1643,S
1216,450,1121,1790,2XL
1020,400,838,1715,M
1121,418,1029,1804,L
862,377,575,1651,XS
1066,426,916,1784,L
992,402,766,1864,M
1372,483,1429,1867,3XL
1178,436,943,1745,2XL
1043,415,817,1717,M
880,384,523,1603,XS
1031,414,775,1729,M
939,395,687,1801,S
942,395,703,1648,S
1134,434,1099,1870,XL
1157,431,1012,1825,XL
1159,445,875,1792,XL
1048,405,778,1702,M
1043,419,818,1790,M
1135,435,881,1821,XL
1172,444,1047,1792,2XL
928,398,689,1678,S
1112,413,909,1728,L
1043,414,822,1730,M
971,399,698,1800,S
1139,440,1009,1695,XL
993,399,796,1671,M
993,410,804,1741,M
1132,427,947,1759,XL
1032,411,826,1770,M
1101,412,995,1813,L
1028,413,800,1700,M
1168,432,1054,1752,XL
1074,421,851,1749,L
1123,436,959,1824,XL
992,393,798,1767,S
1081,427,914,1817,L
1013,414,751,1750,M
1104,417,970,1849,L
1101,411,846,1727,L
991,415,819,1809,M
1074,410,963,1840,L
1107,422,920,1785,L
1032,416,827,1745,M
994,403,811,1732,M
1073,423,878,1713,L
1122,437,967,1786,XL
1076,410,982,1835,L
1180,452,1001,1763,2XL
1014,399,784,1687,M
1032,409,858,1855,M
977,386,668,1715,S
975,390,802,1658,S
1013,403,804,1720,M
1072,421,925,1777,L
1147,446,1057,1902,XL
1113,423,904,1826,XL
1091,424,901,1830,L
1157,428,961,1755,XL
1026,419,744,1777,M
1002,420,794,1682,M
999,401,749,1691,M
1037,416,783,1729,M
908,380,643,1670,XS
1034,415,846,1759,M
1112,445,916,1785,XL
1072,415,754,1694,L
943,397,684,1706,S
1096,426,962,1827,L
1144,435,967,1798,XL
1043,405,798,1700,M
1119,431,1077,1842,XL
1258,461,1292,1909,3XL
938,400,661,1726,S
1203,456,1151,1849,2XL
1114,442,916,1796,XL
1158,425,1044,1822,XL
952,408,664,1635,S
1088,420,866,1703,L
1008,416,802,1742,M
1046,420,796,1687,M
968,406,717,1731,S
1025,418,809,1830,M
1143,425,919,1647,XL
1121,441,963,1928,XL
926,397,683,1728,S
1036,403,828,1705,M
877,381,628,1729,XS
1105,416,894,1752,L
1061,408,928,1776,M
948,402,555,1643,S
990,389,618,1570,S
1018,412,806,1810,M
1069,414,955,1814,L
1174,438,1041,1744,2XL
1141,441,1012,1776,XL
1000,418,751,1826,M
1005,410,702,1757,M
1052,431,806,1777,L
1171,428,944,1775,XL
988,395,769,1713,S
1095,418,1060,1790,L
1054,415,799,1747,L
1267,449,1103,1854,3XL
1248,459,1180,1799,3XL
1114,436,918,1739,XL
1054,429,870,1730,L
1096,430,873,1756,L
1005,415,717,1757,M
1170,427,992,1768,XL
987,388,779,1688,S
1031,416,803,1725,M
1077,420,908,1879,L
1095,414,861,1734,L
912,383,630,1727,XS
1114,428,984,1755,XL
936,402,651,1717,S
1019,402,780,1703,M
1059,407,891,1790,M
1088,428,920,1705,L
998,405,741,1833,M
1198,445,1161,1829,2XL
1023,419,902,1842,M
989,386,710,1620,S
922,398,646,1767,S
1128,433,921,1772,XL
1013,411,741,1877,M
1009,419,737,1782,M
1054,417,811,1754,L
1000,412,695,1651,M
1047,405,796,1668,M
995,409,701,1795,M
931,401,610,1678,S
1024,420,831,1816,M
980,405,757,1754,S
1017,406,735,1725,M
1119,415,920,1770,L
1094,410,906,1779,L
1219,450,1099,1809,2XL
1008,413,765,1710,M
1016,418,780,1629,M
1096,415,918,1769,L
1260,453,1127,1853,3XL
976,407,781,1750,S
1172,434,998,1706,XL
947,380,647,1673,S
949,405,690,1715,S
1063,425,835,1770,L
